dienstplicht {de}	Wehrpflicht {f}
demonstratie {de}	Demonstration {f}
knikker {de}	Murmel {f}
fooi {de}	Trinkgeld {n}
openbare verkoop {de}	Zwangsversteigerung {f}
lood {het}	Blei {n} <Pb>
achterban {de}	Anhängerschaft {f}
rotsen {mv}	Felsen {pl}
schim {de}	Schatten {m}
vernieling {de}	Zerstörung {f}
nors	barsch
morsen	kleckern [ugs.]
stuntelig	tollpatschig [ugs.]
stuur {het}	Lenker {m}
puin {het}	Trümmer {pl}
tarten	trotzen
smeken	anflehen
lef {het} {de}	Mut {m}
wanhopig	verzweifelt
iem. beffen [vulg.]	jdn. lecken [vulg.] [Oralverkehr an einer Frau vollziehen]
meeuwen {mv}	Möwen {pl}
mientras (que)	während
peligroso	gefährlich
amable	nett [freundlich, liebenswürdig]
amistoso [persona]	freundlich [Person]
tareas {f.pl}	Hausaufgaben {pl}
cariñoso (con)	liebevoll (zu)
raro [curioso]	merkwürdig
sueño {m}	Traum {m}
bajo [de estatura]	klein
obra {f} musical	Musikstück {n}
piedra {f}	Stein {m}
durante	während [+Gen.]
serio	ernst
relajante	entspannend
baile {m}	Tanz {m}
día {m} de la semana	Wochentag {m}
estación {f}	Jahreszeit {f}
cuántos	wie viele
cuánto	wieviel [alt]
¿Cuándo?	Wann?
¿Cuál?	Welcher?
quiénes	wer [pl]
alcalde {m}	Bürgermeister {m}
jardín {m} zoológico	Tiergarten {m}
tigre {m} [Panthera tigris]	Tiger {m}
estrella {f}	Stern {m}
salida {f}	Ausgang {m}
autovía {f}	Schnellstraße {f}
bolígrafo {m}	Kugelschreiber {m}
bastante	genug
corto	kurz
más de	mehr als
libreta {f} [libro para anotaciones]	Notizbuch {f}
zapato {m}	Schuh {m}
rápido	schnell
alcoba {f} [dormitorio]	Schlafzimmer {n}
suave [caricia, aterrizaje]	sanft
mochila {f}	Rucksack {m}
teatro {m}	Theater {n}
largo	lang
papel {m}	Papier {n}
pesado [fig.]	anstrengend
tarde {f} [de día]	Nachmittag {m}
¡Buenas tardes!	Guten Tag! [nachmittags]
¡Buenas noches!	Gute Nacht!
guerra {f}	Krieg {m}
pueblo {m} [aldea, población]	Dorf {n}
¿Por qué?	Warum?
alfombra {f}	Teppich {m} [Vorleger]
pesado	schwer [auch fig.]
primavera {f}	Frühling {m}
mayor [personas]	alt
¿Cómo dice?	Wie bitte?
árbol {m}	Baum {m}
dinero {m}	Geld {n}
pared {f}	Wand {f}
estudio {m} [cuarto]	Arbeitszimmer {n}
hoja {f}	Blatt {n}
cuenta {f}	Rechnung {f}
avenida {f} [calle]	Allee {f}
equipaje {m}	Gepäck {n}
si	falls
maestra {f} (de primera enseñanza)	Lehrerin {f} [Grundschule]
duro	hart [auch Wasser]
escuela {f}	Schule {f}
gente {f}	Menschen {pl}
bombón {m}	Praline {f}
verano {m}	Sommer {m}
invierno {m}	Winter {m}
otoño {m}	Herbst {m}
minúscula {f}	Kleinbuchstabe {m}
todavía	noch
fuego {m}	Feuer {n}
mayúscula {f}	Großbuchstabe {m}
lapicero {m}	Stift {m}
porque	weil
¡Así es!	So ist es!
lento	langsam
gracioso [chistoso]	lustig [witzig]
cuarto {m}	Zimmer {n}
de	aus
emocionante [excitante]	spannend
porque	da [weil]
llave {f}	Schlüssel {m}
habitación {f}	Zimmer {n}
así o así	so oder so
ciego [también fig.]	blind [auch fig.]
video {m} [am.]	Video {n}
bello	schön
piso {m} [vivienda]	Wohnung {f}
piso {m} [suelo]	Fußboden {m}
vivienda {f} [piso]	Wohnung {f} <Whg.>
suelo {m} [piso]	Fußboden {m}
o	oder
tranquilo	ruhig
comedor {m}	Esszimmer {n}
nevera {f}	Kühlschrank {m}
suave [blando]	weich
otra vez	noch einmal
orgulloso	stolz
coche {m}	Auto {n}
gabinetes {m.pl} [en la cocina]	Küchenschrank {m}
cuaderno {m}	Notizblock {m}
mes {m}	Monat {m} [ugs. auch {n} in Bayern, Österreich]
calle {f}	Bahn {f}
campo {m} [opuesto a ciudad]	Land {n}
revista {f}	Zeitschrift {f}
vaso {m}	Glas {n} [Trinkglas]
salud {f}	Gesundheit {f}
fiel	treu
mensaje {m}	Nachricht {f}
tarea {f} doméstica	Haushaltsarbeit {f}
todavía no	noch nicht
estrecho	eng
así	auf diese Weise
¿Cómo se llama usted?	Wie heißen Sie?
fiesta {f} [celebración]	Party {f}
tarjeta {f} postal	Postkarte {f}
salón {m} de clases [am.]	Unterrichtsraum {m}
abrir algo	etw. [Akk.] öffnen
especial	besonders
flojo	locker
vestíbulo {m}	Foyer {n}
vidrio {m}	Glas {n}
viaje {m}	Reise {f}
camisa {f}	Hemd {n}
sonreír	lächeln
(Yo) no sé.	Ich weiß (es) nicht.
periódico {m}	Zeitung {f}
grueso	dick
pregunta {f}	Frage {f}
frase {f}	Satz {m}
horno {m}	Ofen {m}
precio {m}	Preis {m}
muñeca {f}	Puppe {f}
Lo siento.	Es tut mir leid.
parque {m}	Park {m}
ruido {m}	Lärm {m}
estuche {m}	Etui {n}
estudio {m}	Studium {n}
flojo [am.]	faul
cenicero {m}	Aschenbecher {m}
medicina {f}	Medizin {f}
cambio {m} de tema	Themenwechsel {m}
bastante	ausreichend
felicidad {f} [dicha]	Glück {n}
palabra {f}	Wort {n}
carta {f}	Brief {m}
sitio {m}	Platz {m}
lápiz {m}	Bleistift {m}
nuevo	neu
cuaderno {m}	Heft {n} [Schreibheft]
arquitecto {m}	Architekt {m}
limpio	sauber
hondo	tief
sencillo	einfach
mañana {f} [parte del día]	Morgen {m}
patio {m}	Innenhof {m}
edificio {m}	Gebäude {n}
dulce [sabor]	süß
hogar {m}	Zuhause {n}
¿Cómo se escribe?	Wie schreibt man das?
madera {f}	Holz {n}
ancho	breit
estación {f}	Bahnhof {m}
cumpleaños {m}	Geburtstag {m}
estufa {f}	Ofen {m}
privado	privat
tarea {f}	Aufgabe {f}
sala {f} (de estar)	Wohnzimmer {n}
este año	dieses Jahr
jurado {m}	Jury {f}
pobreza {f}	Armut {f}
cómico [divertido]	witzig
película {f}	Film {m}
alto	hoch
alto [personas]	groß
alegre	fröhlich
¡Salud!	Gesundheit! [nach dem Niesen]
octrooi {het}	Patent {n}

comida {f}	Mahlzeit {f}
todo {m}	Ganze {n}
¡Perdona!	Entschuldigung!
calle {f} <c/ | C/ | c. | C.>	Straße {f} <Str.>
pero	aber
dedo {m}	Finger {m}
caro	teuer
interesante	interessant
ilusión {f} [visión]	Illusion {f}
fantástico	fantastisch
mercado {m}	Markt {m}
morado	violett
Estados Unidos {m.pl}	Vereinigte Staaten {pl}
noche {f}	Nacht {f}
universidad {f}	Universität {f}
¿Dónde?	Wo?
cine {m}	Kino {n}
aquí	hier
estupendo	großartig
desaparecido	verschwunden
fino	fein
enojado	verärgert
¿Cómo?	Wie?
repetir algo [reiterar]	etw. [Akk.] wiederholen
algo	etwas
marrón	braun
más ... que	eher ... als
escribir (algo)	(etw. [Akk.]) schreiben
jardín {m} botánico	botanischer Garten {m}
fútbol {m} [también: futbol]	Fußball {m} [Spiel]
mi	mein
azul marino	marineblau
semana {f}	Woche {f}
lengua {f}	Sprache {f}
tableta {f}	Tablet-PC {m}
bar {m}	Bar {f}
flaco	mager [dünn]
sordo [que no oye]	taub [gehörlos]
todo	alles
amor {m}	Liebe {f}
viejo	alt
naturaleza {f}	Natur {f}
vez {f}	Mal {n}
goma {f} de borrar	Radiergummi {m} {n}
puerta {f}	Tür {f}
muchacho {m} [niño]	Junge {m}
otra vez	nochmals
agenda {f}	Terminkalender {m}
¿Cómo se dice ... en alemán / inglés?	Wie sagt man ... auf Deutsch / Englisch?
cocina {f}	Küche {f} [Raum]
silla {f}	Stuhl {m}
abogado {m}	Anwalt {m}
colección {f}	Sammlung {f}
playa {f}	Strand {m}
despacio	langsam
escuchar a-algn/algo	jdm./etw. zuhören
farmacia {f} [tienda]	Apotheke {f}
acá [esp. Lat.Am.]	hier
amplio [casa]	geräumig
ascensor {m}	Aufzug {m} [Lift]
día {m}	Tag {m}
con	mit
cielo {m}	Himmel {m}
más	mehr
bus {m}	Bus {m} [Sammelleitung]
prohibido	verboten
